# eastingLBI	northingLBI
529118.1999999999534339	187389.6000000000058208
529136.6999999999534339	187402.5000000000000000
529169.0999999999767169	187428.7999999999883585
529190.3000000000465661	187441.7000000000116415
529217.0999999999767169	187456.8999999999941792
529230.0000000000000000	187465.2999999999883585
529240.4000000000232831	187473.6000000000058208
529266.1999999999534339	187496.6000000000058208
529284.3000000000465661	187508.5000000000000000
529304.9000000000232831	187521.2000000000116415
529328.4000000000232831	187537.7999999999883585
529333.0000000000000000	187541.2000000000116415
529398.4000000000232831	187601.5000000000000000
529452.5000000000000000	187650.2000000000116415
529454.5999999999767169	187652.2000000000116415
529473.9000000000232831	187667.5000000000000000
529483.0999999999767169	187673.7000000000116415
529495.0999999999767169	187680.6000000000058208
529503.3000000000465661	187684.8999999999941792
529525.8000000000465661	187694.7000000000116415
529555.8000000000465661	187709.5000000000000000
529568.3000000000465661	187716.6000000000058208
529576.5000000000000000	187722.7999999999883585
529591.6999999999534339	187731.3999999999941792
529604.9000000000232831	187736.2999999999883585
529616.8000000000465661	187739.2999999999883585
529650.9000000000232831	187748.1000000000058208
529704.5000000000000000	187761.3999999999941792
529730.5000000000000000	187766.5000000000000000
529773.1999999999534339	187777.1000000000058208
529859.8000000000465661	187803.8999999999941792
529885.6999999999534339	187800.3999999999941792
529909.6999999999534339	187802.3999999999941792
529915.0999999999767169	187802.1000000000058208
529926.9000000000232831	187800.1000000000058208
529947.6999999999534339	187794.2000000000116415
529953.0999999999767169	187791.7000000000116415
530000.0000000000000000	187795.1000000000058208
530000.0999999999767169	187795.1000000000058208
530025.6999999999534339	187799.2999999999883585
530041.1999999999534339	187802.2999999999883585
530052.6999999999534339	187806.2000000000116415
530058.9000000000232831	187809.1000000000058208
530061.6999999999534339	187822.1000000000058208
530063.0999999999767169	187832.2000000000116415
530066.4000000000232831	187831.8999999999941792
530073.5000000000000000	187831.1000000000058208
530081.9000000000232831	187830.6000000000058208
530093.0999999999767169	187837.7999999999883585
530103.8000000000465661	187850.5000000000000000
530111.5000000000000000	187861.3999999999941792
530113.0000000000000000	187863.2999999999883585
530116.1999999999534339	187867.1000000000058208
530127.6999999999534339	187868.2000000000116415
530139.6999999999534339	187869.7000000000116415
530150.9000000000232831	187870.3999999999941792
530210.0999999999767169	187903.6000000000058208
530212.8000000000465661	187897.0000000000000000
530252.3000000000465661	187914.7999999999883585
530253.5999999999767169	187915.3999999999941792
530254.9000000000232831	187911.1000000000058208
530380.5000000000000000	187962.2999999999883585
530399.5999999999767169	187968.2000000000116415
530405.3000000000465661	187968.6000000000058208
530407.3000000000465661	187968.7000000000116415
530418.0999999999767169	187941.1000000000058208
530429.5999999999767169	187912.0000000000000000
530427.9000000000232831	187910.2999999999883585
530436.6999999999534339	187901.5000000000000000
530454.5000000000000000	187883.7000000000116415
